bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,file_type,timeout_ms,time_ms,terminated
0,0,0,0,0,complex_expr,ser,30000,85.0,1
1,1,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
0,1,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,0,1,1,1,complex_while_with_yields,ser,30000,30004.0,0
0,0,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,1,0,1,1,complex_while_with_yields,ser,30000,30004.0,0
0,1,0,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,0,0,1,1,complex_while_with_yields,ser,30000,30003.0,0
0,0,0,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,1,1,0,1,complex_while_with_yields,ser,30000,30004.0,0
0,1,1,0,1,complex_while_with_yields,ser,30000,30003.0,0
1,0,1,0,1,complex_while_with_yields,ser,30000,30003.0,0
0,0,1,0,1,complex_while_with_yields,ser,30000,30005.0,0
1,1,0,0,1,complex_while_with_yields,ser,30000,30004.0,0
0,1,0,0,1,complex_while_with_yields,ser,30000,30003.0,0
1,0,0,0,1,complex_while_with_yields,ser,30000,30004.0,0
0,0,0,0,1,complex_while_with_yields,ser,30000,30004.0,0
1,1,1,1,0,complex_while_with_yields,ser,30000,30003.0,0
0,1,1,1,0,complex_while_with_yields,ser,30000,30003.0,0
1,0,1,1,0,complex_while_with_yields,ser,30000,30003.0,0
0,0,1,1,0,complex_while_with_yields,ser,30000,30003.0,0
1,1,0,1,0,complex_while_with_yields,ser,30000,30005.0,0
0,1,0,1,0,complex_while_with_yields,ser,30000,30003.0,0
1,0,0,1,0,complex_while_with_yields,ser,30000,30004.0,0
0,0,0,1,0,complex_while_with_yields,ser,30000,30004.0,0
1,1,1,0,0,complex_while_with_yields,ser,30000,30004.0,0
0,1,1,0,0,complex_while_with_yields,ser,30000,30003.0,0
1,0,1,0,0,complex_while_with_yields,ser,30000,30004.0,0
0,0,1,0,0,complex_while_with_yields,ser,30000,30004.0,0
1,1,0,0,0,complex_while_with_yields,ser,30000,30003.0,0
0,1,0,0,0,complex_while_with_yields,ser,30000,30004.0,0
1,0,0,0,0,complex_while_with_yields,ser,30000,30003.0,0
0,0,0,0,0,complex_while_with_yields,ser,30000,30003.0,0
1,1,1,1,1,equality_check,ser,30000,90.0,1
0,1,1,1,1,equality_check,ser,30000,90.0,1
1,0,1,1,1,equality_check,ser,30000,87.0,1
0,0,1,1,1,equality_check,ser,30000,89.0,1
1,1,0,1,1,equality_check,ser,30000,90.0,1
0,1,0,1,1,equality_check,ser,30000,92.0,1
1,0,0,1,1,equality_check,ser,30000,92.0,1
0,0,0,1,1,equality_check,ser,30000,87.0,1
1,1,1,0,1,equality_check,ser,30000,91.0,1
0,1,1,0,1,equality_check,ser,30000,92.0,1
1,0,1,0,1,equality_check,ser,30000,88.0,1
0,0,1,0,1,equality_check,ser,30000,91.0,1
1,1,0,0,1,equality_check,ser,30000,90.0,1
0,1,0,0,1,equality_check,ser,30000,87.0,1
1,0,0,0,1,equality_check,ser,30000,91.0,1
0,0,0,0,1,equality_check,ser,30000,90.0,1
1,1,1,1,0,equality_check,ser,30000,88.0,1
0,1,1,1,0,equality_check,ser,30000,92.0,1
1,0,1,1,0,equality_check,ser,30000,88.0,1
0,0,1,1,0,equality_check,ser,30000,90.0,1
1,1,0,1,0,equality_check,ser,30000,90.0,1
0,1,0,1,0,equality_check,ser,30000,86.0,1
1,0,0,1,0,equality_check,ser,30000,91.0,1
0,0,0,1,0,equality_check,ser,30000,90.0,1
1,1,1,0,0,equality_check,ser,30000,94.0,1
0,1,1,0,0,equality_check,ser,30000,89.0,1
1,0,1,0,0,equality_check,ser,30000,93.0,1
