bidirectional ON,remove-redundant ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
0,1,1,0,modulo_nonser,ser,30000,177,1
1,0,1,0,modulo_nonser,ser,30000,156,1
0,0,1,0,modulo_nonser,ser,30000,195,1
1,1,0,0,modulo_nonser,ser,30000,6308,1
0,1,0,0,modulo_nonser,ser,30000,30028,0
1,0,0,0,modulo_nonser,ser,30000,30034,0
0,0,0,0,modulo_nonser,ser,30000,5944,1
1,1,1,1,multiple_requests,ser,30000,113,1
0,1,1,1,multiple_requests,ser,30000,118,1
1,0,1,1,multiple_requests,ser,30000,110,1
0,0,1,1,multiple_requests,ser,30000,111,1
1,1,0,1,multiple_requests,ser,30000,111,1
0,1,0,1,multiple_requests,ser,30000,111,1
1,0,0,1,multiple_requests,ser,30000,109,1
0,0,0,1,multiple_requests,ser,30000,104,1
1,1,1,0,multiple_requests,ser,30000,110,1
0,1,1,0,multiple_requests,ser,30000,112,1
1,0,1,0,multiple_requests,ser,30000,111,1
0,0,1,0,multiple_requests,ser,30000,109,1
1,1,0,0,multiple_requests,ser,30000,111,1
0,1,0,0,multiple_requests,ser,30000,112,1
1,0,0,0,multiple_requests,ser,30000,108,1
0,0,0,0,multiple_requests,ser,30000,107,1
1,1,1,1,multiple_vars,ser,30000,86,1
0,1,1,1,multiple_vars,ser,30000,88,1
1,0,1,1,multiple_vars,ser,30000,87,1
0,0,1,1,multiple_vars,ser,30000,84,1
1,1,0,1,multiple_vars,ser,30000,90,1
0,1,0,1,multiple_vars,ser,30000,90,1
1,0,0,1,multiple_vars,ser,30000,87,1
0,0,0,1,multiple_vars,ser,30000,88,1
1,1,1,0,multiple_vars,ser,30000,90,1
0,1,1,0,multiple_vars,ser,30000,93,1
1,0,1,0,multiple_vars,ser,30000,88,1
0,0,1,0,multiple_vars,ser,30000,87,1
1,1,0,0,multiple_vars,ser,30000,88,1
0,1,0,0,multiple_vars,ser,30000,93,1
1,0,0,0,multiple_vars,ser,30000,88,1
0,0,0,0,multiple_vars,ser,30000,88,1
1,1,1,1,nested_while,ser,30000,90,1
0,1,1,1,nested_while,ser,30000,91,1
1,0,1,1,nested_while,ser,30000,87,1
0,0,1,1,nested_while,ser,30000,86,1
1,1,0,1,nested_while,ser,30000,88,1
0,1,0,1,nested_while,ser,30000,91,1
1,0,0,1,nested_while,ser,30000,87,1
0,0,0,1,nested_while,ser,30000,88,1
1,1,1,0,nested_while,ser,30000,89,1
0,1,1,0,nested_while,ser,30000,88,1
1,0,1,0,nested_while,ser,30000,87,1
0,0,1,0,nested_while,ser,30000,89,1
1,1,0,0,nested_while,ser,30000,87,1
0,1,0,0,nested_while,ser,30000,84,1
1,0,0,0,nested_while,ser,30000,87,1
0,0,0,0,nested_while,ser,30000,89,1
1,1,1,1,nondet2,ser,30000,121,1
0,1,1,1,nondet2,ser,30000,123,1
1,0,1,1,nondet2,ser,30000,125,1
0,0,1,1,nondet2,ser,30000,118,1
1,1,0,1,nondet2,ser,30000,119,1
0,1,0,1,nondet2,ser,30000,121,1
1,0,0,1,nondet2,ser,30000,122,1
0,0,0,1,nondet2,ser,30000,119,1
1,1,1,0,nondet2,ser,30000,122,1
0,1,1,0,nondet2,ser,30000,115,1
1,0,1,0,nondet2,ser,30000,117,1
0,0,1,0,nondet2,ser,30000,120,1
