mode,example,elapsed_ms
without-remove-redundant-parts without-generate-less,flag_non_ser_turned_ser,97
without-bidirectional without-remove-redundant-parts without-generate-less,flag_non_ser_turned_ser,97
without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,97
without-bidirectional without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,103
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,105
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,113
without-smart-kleene-order,flag_non_ser_turned_ser,102
without-bidirectional without-smart-kleene-order,flag_non_ser_turned_ser,98
without-remove-redundant-parts without-smart-kleene-order,flag_non_ser_turned_ser,100
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,flag_non_ser_turned_ser,99
without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,104
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,97
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,97
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,97
without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,97
without-bidirectional without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,101
without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,97
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,99
without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,98
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,101
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,100
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,96
all-on,fred2_arith,224
without-bidirectional,fred2_arith,219
without-remove-redundant-parts,fred2_arith,219
without-bidirectional without-remove-redundant-parts,fred2_arith,204
without-remove-redundant-sets,fred2_arith,229
without-bidirectional without-remove-redundant-sets,fred2_arith,210
without-remove-redundant-parts without-remove-redundant-sets,fred2_arith,208
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,fred2_arith,210
without-generate-less,fred2_arith,520
without-bidirectional without-generate-less,fred2_arith,543
without-remove-redundant-parts without-generate-less,fred2_arith,519
without-bidirectional without-remove-redundant-parts without-generate-less,fred2_arith,501
without-remove-redundant-sets without-generate-less,fred2_arith,540
without-bidirectional without-remove-redundant-sets without-generate-less,fred2_arith,515
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2_arith,499
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2_arith,504
without-smart-kleene-order,fred2_arith,211
without-bidirectional without-smart-kleene-order,fred2_arith,251
without-remove-redundant-parts without-smart-kleene-order,fred2_arith,234
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,fred2_arith,209
without-remove-redundant-sets without-smart-kleene-order,fred2_arith,235
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,fred2_arith,268
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2_arith,226
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2_arith,198
without-generate-less without-smart-kleene-order,fred2_arith,30773
without-bidirectional without-generate-less without-smart-kleene-order,fred2_arith,143
without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2_arith,31006
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2_arith,3598
without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,347
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,142
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,255
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,147
all-on,fred2,229
without-bidirectional,fred2,223
without-remove-redundant-parts,fred2,212
without-bidirectional without-remove-redundant-parts,fred2,204
without-remove-redundant-sets,fred2,221
